x,y,z
1,79,6
77,24,91
78,27,23
51,38,50
7,19,40
81,80,97
54,83,78
22,44,11
64,69,45
69,85,82
53,60,15
8,8,17
91,22,43
42,23,63
43,50,52
99,25,39
15,55,93
33,51,53
56,97,84
62,86,80
60,67,95
25,94,2
10,31,42
11,89,92
92,65,4
2,100,20
87,2,73
66,99,88
20,98,58
30,56,66
75,63,100
100,58,26
26,87,25
13,90,98
63,84,34
52,75,21
67,28,9
59,21,57
95,18,13
93,11,49
49,70,24
58,48,38
97,15,54
79,6,90
76,61,3
68,7,1
55,52,16
70,36,62
72,20,14
80,10,5
23,17,7
88,14,99
5,16,68
74,45,96
16,88,86
4,39,72
41,49,55
27,73,56
71,54,27
6,81,47
86,59,28
9,95,71
35,62,59
89,4,89
18,3,81
48,42,85
3,91,31
45,68,41
50,34,87
36,30,32
19,76,10
37,13,37
29,82,69
90,93,35
24,71,94
14,46,48
17,66,77
40,72,76
94,37,64
44,5,83
31,47,70
57,77,36
61,78,8
82,26,79
32,74,75
84,9,18
12,1,12
28,64,19
96,12,44
73,92,29
46,40,60
65,96,61
39,29,74
21,41,46
47,33,33
98,32,67
38,53,30
83,35,22
34,57,51
85,43,65
