x,y,z
63003,93065,83934
28235,35241,43294
18014,90869,84090
21864,64573,51700
3140,23148,38136
51148,4647,78155
96965,22453,93439
21254,7245,73766
26203,9613,32034
85384,43889,14574
20712,88556,85930
67083,17542,36178
84487,13241,8218
23864,72905,70661
23886,16888,89768
65540,11306,7717
15322,35708,56062
96186,38169,52468
45720,72768,22599
88362,47836,65750
50760,59673,39610
39554,72645,445
36401,71332,98823
68031,32606,11724
44948,61905,59976
73810,78168,1133
21752,90182,25445
63799,20638,54161
35315,53571,7033
69108,77856,33639
57273,64314,67166
35650,95383,49074
41708,19969,75693
35999,95466,85709
41525,68806,93750
24997,228,37117
6573,55978,87031
53639,37465,73187
20565,1620,24755
12682,78150,64094
66999,72815,60531
62544,55764,63492
7867,38892,38091
50022,8518,68364
19149,27824,57841
61399,16145,28451
28912,4710,4087
69532,69446,24248
60397,39077,53758
79426,27050,78
4333,17766,77756
92466,92707,34691
46142,16751,31950
92809,91146,68718
74004,3331,6929
73436,55282,94625
75362,88465,52086
57240,20232,31581
51582,36306,45882
31663,57337,74016
12356,29651,65405
9892,33165,63131
11118,30248,26564
70486,88809,66376
18706,82550,45436
33919,99413,71399
70081,56202,94103
59311,78059,72974
40938,86756,25659
8326,97010,83918
98944,55949,16753
34758,84278,93467
47940,71337,27012
26090,17616,47480
90869,24626,33971
54378,47427,24459
46574,78850,97653
86701,76866,13156
2634,86261,94598
80285,5621,74958
23131,55102,85757
32484,31051,94824
1045,22741,73544
9228,84141,88251
55120,40995,59877
15706,12394,921
47720,55213,64414
7014,38743,13477
85139,65518,50806
76852,38211,17667
28508,68600,36284
81145,64522,86412
2882,17731,97474
80789,35658,81223
78662,16116,89011
40781,49416,77686
52294,90494,92252
33278,67586,51260
76187,2804,4748
37921,33289,8320
34959,92590,5612
78016,58177,60529
78879,5811,37804
21129,98340,55991
6095,62591,82180
91519,36128,9827
76357,37044,20716
74276,47005,41150
97380,18001,34882
50829,41246,50451
21305,58901,46075
34608,72583,82649
80729,95406,81267
78296,29685,64590
44754,39964,41375
23043,32626,65901
60367,56828,71716
78833,42139,8191
10893,92658,26217
39819,36946,77818
21200,57345,49191
38408,15464,1282
40775,10443,95957
3866,16369,85057
63263,91583,61785
74374,16838,50690
98136,19556,79956
66191,32165,11745
4331,96929,80438
16316,60999,24677
14030,21815,8949
87491,63822,36514
44909,24464,56395
38544,66885,85666
95840,93888,11014
46792,99763,11235
51837,23257,18422
90896,78400,66391
12329,57790,11619
18354,5131,80144
28849,65393,28846
9403,37153,839
42793,30253,2503
30766,58545,85359
42378,94854,31993
26348,73987,88194
2257,3109,11379
62152,57232,82529
84198,95520,38441
54705,63115,40633
47968,30953,6176
30792,70676,42506
14484,47934,50281
65920,68393,16492
58158,34861,11486
48007,26480,63975
